PROP_MAN 11.0
2017         0.000  14212800.000   1296000.000  M50 FT FPS SEC
 14258640.000   15350048.093288   -1643059.794154  -16035400.856557  10609.042495  21351.972328   7967.682164  907581.4
 14258880.000   17305436.062504    3478864.393630  -13560129.083220   5585.209355  21069.305926  12533.684077  907581.4
 14259120.000   17997783.990860    8346795.782246  -10092427.523791    147.897618  19247.764055  16186.918275  907581.4
 14259360.000   17375037.425899   12604773.132188   -5885233.354246  -5306.619485  16017.009890  18657.699389  907581.4
 14259600.000   15481337.485991   15940711.143394   -1246356.365825 -10377.877778  11611.138589  19761.565535  907581.4
 14259840.000   12454399.080377   18109773.369532    3483983.483653 -14691.698400   6353.114953  19414.913846  907581.4
 14260080.000    8515610.227665   18952939.973706    7958489.031866 -17929.641637    630.387781  17642.910117  907581.4
 14260320.000    3953521.533909   18408898.185551   11848826.718966 -19854.017456  -5135.568957  14577.209232  907581.4
 14260560.000    -897787.394682   16518325.664062   14870018.222869 -20325.359346 -10521.812931  10444.946147  907581.4
 14260800.000   -5683530.079712   13420381.873011   16801258.474993 -19311.307986 -15135.577238   5550.211124  907581.4
 14261040.000  -10054138.117523    9342061.794882   17501692.413164 -16887.203559 -18641.882590    251.089040  907581.4
 14261280.000  -13690495.065156    4581481.623532   16920339.761850 -13229.910618 -20786.453822  -5066.033233  907581.4
 14261520.000  -16326886.992136    -513713.262013   15099608.777243  -8604.880486 -21413.140253 -10013.835023  907581.4
 14261760.000  -17770167.211348   -5571321.776967   12172331.999262  -3348.054971 -20474.861526 -14230.492765  907581.4
 14262000.000  -17914028.423251  -10221484.436602    8352460.391658   2157.130332 -18038.275317 -17406.071193  907581.4
 14262240.000  -16747197.006851  -14123730.013971    3919741.281793   7506.998271 -14280.470007 -19305.767655  907581.4
 14262480.000  -14354692.904393  -16992264.762193    -800680.020624  12307.907660  -9477.252384 -19788.667484  907581.4
 14262720.000  -10911774.163013  -18617373.765942   -5462369.146614  16206.455674  -3982.762861 -18819.583744  907581.4
 14262960.000   -6670859.624837  -18881027.811836   -9723509.006730  18917.184664   1798.129326 -16471.795170  907581.4
 14263200.000   -1942529.089237  -17765321.495437  -13272317.672085  20243.818382   7441.355005 -12920.506078  907581.4
 14263440.000    2927652.081578  -15353195.113428  -15849875.818607  20092.550583  12535.784012  -8427.997264  907581.4
 14263680.000    7584473.519755  -11821740.983072  -17268654.572734  18477.042306  16712.548660  -3323.126003  907581.4
 14263920.000   11688722.059772   -7428916.593568  -17425630.051626  15515.850592  19670.432454   2023.013117  907581.4
 14264160.000   14941330.636951   -2494824.361764  -16309341.073378  11422.995401  21195.589102   7222.812761  907581.4
 14264400.000   17104678.102123    2621087.555940  -14000715.880565   6493.686959  21175.978170  11898.378083  907581.4
 14264640.000   18019826.183923    7545641.772681  -10667569.512510   1084.717260  19610.110078  15707.850922  907581.4
 14264880.000   17618472.544175   11918833.818956   -6552938.753102  -4409.828042  16608.986637  18370.222809  907581.4
 14265120.000   15928546.892069   15420269.674214   -1957748.352830  -9587.109508  12389.853243  19687.332652  907581.4
 14265360.000   13072705.919779   17793021.090975    2781107.663467 -14065.510350   7261.303578  19559.683539  907581.4
 14265600.000    9259683.898819   18863054.725801    7315718.764841 -17514.236399   1601.054245  17995.879343  907581.4
 14265840.000    4768789.800087   18552327.846802   11313271.690592 -19679.741045  -4173.960639  15112.122174  907581.4
 14266080.000     -71044.491663   16884354.512254   14480817.997460 -20404.483421  -9639.788313  11122.092228  907581.4
 14266320.000   -4905734.168370   13982047.081864   16586750.574440 -19637.514192 -14397.213351   6319.909045  907581.4
 14266560.000   -9382058.160176   10058218.523874   17477447.247480 -17436.585294 -18100.660983   1057.206951  907581.4
 14266800.000  -13173188.040760    5399777.539724   17088049.811903 -13962.396320 -20481.691387  -4282.303234  907581.4
 14267040.000  -16002132.553221     346953.584674   15446992.029122  -9467.244221 -21367.016098  -9309.435248  907581.4
 14267280.000  -17661761.705106   -4731186.625915   12674015.171039  -4277.551374 -20691.078404 -13656.983305  907581.4
 14267520.000  -18029986.752549   -9463358.889165    8971742.427798   1228.434625 -18501.322264 -17005.674306  907581.4
 14267760.000  -17079092.723536  -13503146.436828    4611236.933194   6647.325048 -14956.549809 -19108.115746  907581.4
 14268000.000  -14878225.813503  -16554676.577767     -87693.558804  11580.465415 -10316.712227 -19808.336694  907581.4
 14268240.000  -11588553.243778  -18394768.416571   -4780186.909312  15664.708656  -4923.735683 -19054.991559  907581.4
 14268480.000   -7451263.766117  -18889543.214039   -9122098.896106  18600.615801    824.984630 -16905.265965  907581.4
 14268720.000   -2769462.340245  -18004115.008289  -12795620.493788  20174.910309   6507.232723 -13519.879588  907581.4
 14268960.000    2114534.220399  -15804659.566341  -15532641.951007  20275.843221  11708.419528  -9149.345971  907581.4
 14269200.000    6844437.925307  -12452860.947659  -17133983.408789  18899.015150  16051.881399  -4113.818749  907581.4
 14269440.000   11075682.303830   -8193674.053944  -17483323.614109  16145.744109  19224.211183   1220.410217  907581.4
 14269680.000   14500001.433316   -3337526.596006  -16555255.761591  12215.358224  20996.286372   6466.473571  907581.4
 14269920.000   16867376.616863    1761862.692889  -14417026.481101   7391.200614  21238.513269  11243.479533  907581.4
 14270160.000   18004071.176005    6732632.776812  -11223978.240790   2022.126597  19930.441846  15202.496297  907581.4
 14270400.000   17825626.426034   11211523.055955   -7208814.920063  -3501.101187  17164.089823  18051.844472  907581.4
 14270640.000   16343646.231953   14870464.924036   -2665090.939735  -8773.595865  13139.297400  19579.508274  907581.4
 14270880.000   13665551.019763   17441071.045379    2074153.983330 -13407.026524   8150.498085  19670.826669  907581.4
 14271120.000    9986944.265424   18734805.361183    6661082.574472 -17059.524547   2564.498140  18318.009141  907581.4
 14271360.000    5577219.484216   18657145.994531   10759019.668780 -19462.174601  -3207.130127  15621.315922  907581.4
 14271600.000     759376.328871   17214515.081285   14067582.067900 -20439.916394  -8740.303810  11780.755905  907581.4
 14271840.000   -4114083.336155   14513347.788246   16344763.140876 -19923.119983 -13630.765723   7079.528939  907581.4
 14272080.000   -8687031.725132   10751812.840808   17424383.764759 -17951.228703 -17522.889921   1862.348461  907581.4
 14272320.000  -12625573.701762    6205047.542608   17227845.348903 -14668.746905 -20134.548884  -3490.103196  907581.4
 14272560.000  -15642043.943356    1205123.549634   15769542.484092 -10314.059092 -21276.055914  -8588.026485  907581.4
 14272800.000  -17515687.913039   -3882805.844321   13155853.290254  -5203.318390 -20863.183747 -13059.183252  907581.4
 14273040.000  -18108848.107025   -8686825.648716    9577699.990517    291.261480 -18924.334150 -16575.557759  907581.4
 14273280.000  -17377348.440976  -12855356.961479    5296974.069303   5767.505011 -15599.838132 -18877.572980  907581.4
 14273520.000  -15374197.732549  -16083136.320932     627536.163364  10822.861990 -11133.076150 -19794.657498  907581.4
 14273760.000  -12245984.570678  -18134000.509613   -4087960.688756  15085.098581  -5852.938607 -19259.143213  907581.4
 14274000.000   -8222049.781040  -18858542.140670   -8503639.239364  18241.399840   -148.739403 -17311.986046  907581.4
