PROP_MAN 11.0
2017         0.000  14043206.982   1296000.000  M50 FT FPS SEC
 14043206.982    7383861.848256   20495578.620734    4544886.315131 -16249.360651   1594.751544  19143.821613  907581.4
 14043446.982    3261467.981556   20123572.499559    8916257.544954 -17892.743094  -4675.351519  17059.947839  907581.4
 14043686.982   -1099614.756287   18279113.138658   12633392.509158 -18226.401936 -10600.093307  13725.792583  907581.4
 14043926.982   -5380339.248880   15098010.802870   15424139.835382 -17227.524579 -15745.803377   9387.831767  907581.4
 14044166.982   -9267951.492938   10813638.712880   17084614.546818 -14970.762141 -19737.983486   4364.789436  907581.4
 14044406.982  -12478691.422822    5739483.906863   17493747.446872 -11621.450916 -22287.357032   -976.167893  907581.4
 14044646.982  -14778166.026057     246223.766022   16621759.858306  -7423.170377 -23209.203762  -6245.960203  907581.4
 14044886.982  -15998166.310457   -5264980.102099   14532197.253220  -2680.667637 -22435.739837 -11060.443125  907581.4
 14045126.982  -16048899.797751  -10391342.598143   11377507.480275   2261.116324 -20021.451668 -15067.312238  907581.4
 14045366.982  -14925810.063767  -14757665.021388    7388318.723010   7040.979457 -16140.668107 -17971.468248  907581.4
 14045606.982  -12710391.929566  -18043962.833677    2856894.569772  11307.562360 -11076.644485 -19557.746953  907581.4
 14045846.982   -9564558.063289  -20009429.154539   -1884254.923276  14746.487999  -5201.856425 -19708.332005  907581.4
 14046086.982   -5718739.878685  -20510579.415757   -6487127.015499  17104.865650   1050.452531 -18412.840023  907581.4
 14046326.982   -1454664.709535  -19511847.474014  -10614277.201932  18210.865526   7220.105005 -15768.926338  907581.4
 14046566.982    2915755.872666  -17087776.875570  -13963869.341215  17986.141079  12855.581882 -11973.513803  907581.4
 14046806.982    7073506.787056  -13416849.228466  -16291669.157292  16449.909318  17547.429581  -7306.480039  907581.4
 14047046.982   10715675.308495   -8767841.023676  -17428447.969477  13716.048842  20957.024623  -2109.003306  907581.4
 14047286.982   13577115.547159   -3479981.232462  -17291727.581644   9983.389103  22838.988485   3241.415184  907581.4
 14047526.982   15449236.490094    2061435.932029  -15891412.722308   5521.686842  23056.965767   8356.808522  907581.4
 14047766.982   16194915.028567    7452495.990664  -13329136.814871    653.400454  21593.172017  12865.136993  907581.4
 14048006.982   15758596.469640   12299563.984128   -9791298.079507  -4268.076590  18550.835908  16436.296190  907581.4
 14048246.982   14170807.644052   16247849.301894   -5536033.169042  -8883.084744  14148.797889  18806.386595  907581.4
 14048486.982   11546544.272086   19007657.178046    -874758.659002 -12851.846337   8707.788367  19798.379577  907581.4
 14048726.982    8077240.459991   20376313.742456    3850665.373830 -15881.449805   2627.491688  19337.482689  907581.4
 14048966.982    4016680.965476   20253484.770202    8293418.216329 -17748.547128  -3644.445548  17457.442467  907581.4
 14049206.982    -337861.031655   18648608.765587   12127606.471411 -18316.376628  -9646.756595  14297.683018  907581.4
 14049446.982   -4667759.235762   15679939.607309   15072424.282928 -17544.761399 -14939.674958  10091.937152  907581.4
 14049686.982   -8656598.570886   11565382.165087   16912665.354466 -15491.901674 -19137.617539   5149.546932  907581.4
 14049926.982  -12013210.905456    6606098.471791   17514116.351624 -12308.497280 -21936.279238   -168.084652  907581.4
 14050166.982  -14492590.790485    1164438.216782   16832975.263499  -8226.189568 -23132.924701  -5473.365249  907581.4
 14050406.982  -15913457.685041   -4362215.807472   14918892.302243  -3541.316753 -22640.036746 -10379.687615  907581.4
 14050646.982  -16171405.748945   -9570024.604451   11911476.572001   1405.573643 -20491.766826 -14528.386531  907581.4
 14050886.982  -15246737.810883  -14077922.057500    8030523.590819   6253.175419 -16842.990837 -17614.017207  907581.4
 14051126.982  -13206387.162065  -17555659.965701    3560301.078320  10645.529037 -11959.831250 -19408.409594  907581.4
 14051366.982  -10199333.590702  -19748389.594970   -1171267.440113  14259.178825  -6200.760998 -19778.300230  907581.4
 14051606.982   -6445781.319725  -20495842.192389   -5816866.687917  16828.000133      9.515406 -18696.686042  907581.4
 14051846.982   -2220731.417050  -19744322.479118  -10035830.670134  18164.449713   6213.610649 -16245.408663  907581.4
 14052086.982    2166667.796289  -17550258.163139  -13519488.352373  18173.088631  11957.070953 -12607.319345  907581.4
 14052326.982    6396045.193346  -14075383.986966  -16013716.967962  16856.140715  16822.089867  -8051.059655  907581.4
 14052566.982   10159183.123119   -9574292.557796  -17337103.020637  14311.732195  20457.145900  -2910.003416  907581.4
 14052806.982   13182121.875267   -4375567.783326  -17393602.671790  10725.351560  22600.595443   2442.040029  907581.4
 14053046.982   15244584.162430    1141955.792802  -16179121.981302   6356.273660  23097.518768   7617.005880  907581.4
 14053286.982   16195675.683016    6576175.754418  -13781794.537052   1520.166046  21910.184090  12238.807152  907581.4
 14053526.982   15964934.699653   11530446.331282  -10375954.826262  -3432.191293  19121.805809  15969.455597  907581.4
 14053766.982   14567887.460693   15642292.588516   -6209999.180432  -8139.265835  14932.579131  18533.643736  907581.4
 14054006.982   12105500.654454   18610171.245583   -1588674.931871 -12255.098659   9647.222324  19740.339619  907581.4
 14054246.982    8757219.482703   20216118.947792    3149197.855227 -15475.881982   3653.212631  19498.591278  907581.4
 14054486.982    4767943.915195   20342311.054178    7655866.919865 -17563.725836  -2607.728223  17825.681256  907581.4
 14054726.982     429740.053072   18979950.957778   11600724.966341 -18365.902197  -8674.940820  14845.990846  907581.4
 14054966.982   -3939977.581825   16229525.313052   14694818.095863 -17824.993217 -14103.973583  10779.898306  907581.4
 14055206.982   -8021840.570286   12292969.018137   16711949.054938 -15982.057692 -18499.018584   5926.604380  907581.4
 14055446.982  -11517825.916987    7458498.387344   17504955.755259 -12972.683369 -21541.109432    641.390064  907581.4
