180401  1+ 1o 1o 1+  1o 1+ 1o 1o    9o Q0   4 0.2
180402  2- 1o 1- 1-  1+ 1+ 1+ 1+    9+      4 0.2
180403  1+ 2o 1o 0+  0o 0o 0o 0o    5- Q7   2 0.0
180404  0o 0o 0+ 2-  2- 2- 1+ 2-    8+      4 0.1
180405  3o 2o 1- 1-  1+ 3- 3o 1+   15-      8 0.4
180406  1- 0+ 0+ 1-  1o 2- 1o 1-    6+ Q6   3 0.1
180407  0+ 1o 1- 0+  1o 1+ 1- 2o    7+ Q9   4 0.1
180408  1- 1+ 0+ 1-  0+ 2- 2o 2+    9+      5 0.2
180409  1+ 1+ 2o 1+  2o 2+ 3o 4+   18- D5* 11 0.6
180410  2o 4o 4o 3-  3+ 3o 2+ 4-   25o D2* 17 0.9
180411  4+ 4- 3o 2-  1+ 0+ 1o 2o   17+ D3* 12 0.7
180412  2- 2- 3- 1+  2o 1+ 2+ 3o   16o      8 0.4
180413  4- 2+ 2- 1+  1o 1- 2o 3-   15+      8 0.5
180414  2o 1+ 0o 0+  2o 2o 1+ 2-   11-      5 0.2
180415  2+ 1+ 1+ 1-  2- 1- 1- 2-   10+      5 0.2
180416  1o 1- 0o 0+  0+ 0+ 0o 1o    4- Q2   2 0.0
180417  1- 1- 1- 0o  0+ 1- 1- 1o    5- Q3   3 0.0
180418  1+ 2- 1- 1-  2- 2o 2- 1-   10+      5 0.2
180419  0o 0o 0o 1o  0+ 0o 1- 1-    3- Q1   2 0.0
180420  3+ 4o 6o 6-  4+ 5o 5+ 3+   37o D1  43 1.5
180421  3o 3- 3- 2o  2+ 3+ 3o 1+   20+ D4* 12 0.7
180422  1+ 2- 1o 0+  2- 1o 1o 2-   10-      5 0.2
180423  3- 2- 0+ 0o  1o 1- 3o 2o   11+      6 0.3
180424  0+ 0o 1- 0+  1+ 1+ 2o 2-    8-      4 0.1
180425  2o 2o 1o 1-  0+ 0o 0o 1+    7+      4 0.1
180426  2- 1- 0+ 1o  1o 0+ 1- 2-    7+ Q8   4 0.1
180427  1+ 0o 0o 1-  1+ 3- 2- 2o   10-      5 0.2
180428  2- 1- 1- 0+  1+ 1- 0+ 0o    6- Q5   3 0.1
180429  0+ 0o 1o 1-  1+ 1+ 0+ 1-    6- Q4   3 0.1
180430  2+ 1+ 1- 1-  2o 2- 1+ 0o   10o      5 0.2
1804                                  Mean  7 0.29

1804 Q 19  16  17  29  28   6   3  26   7   1 
1804 D 20  10* 11* 21*  9*
