190101  1o 1+ 3- 2-  2o 0+ 0o 1-   10-      5 0.2
190102  0o 0o 0o 0o  0+ 0+ 0o 0o    1- Q1   0 0.0
190103  1o 0o 0o 0+  0+ 0o 0o 0+    2o Q3   1 0.0
190104  1+ 0+ 1o 2-  2o 3o 3- 3+   15+      9 0.5
190105  5o 4o 2+ 2+  2- 2+ 2o 3o   23- D2* 16 0.9
190106  2- 3- 2+ 2-  2o 3- 3o 2o   18o      9 0.5
190107  2- 2+ 2- 2o  2- 0+ 0+ 2o   12o      6 0.3
190108  2+ 2- 1+ 2+  1+ 1- 1+ 0+   11+      6 0.2
190109  2- 1- 1o 1+  1- 0+ 1o 1o    8-      4 0.1
190110  1o 1- 1o 1o  1+ 0+ 0o 1-    6o Q8   3 0.1
190111  1+ 2- 3+ 1+  1+ 0+ 1+ 0+   11o      6 0.3
190112  1- 0+ 0o 0o  1o 1- 0+ 0+    3+ Q5   2 0.0
190113  0+ 1o 1- 1-  0o 0o 1- 1o    4+ Q6   2 0.0
190114  2o 2- 2o 2o  1- 2- 1o 3-   14-      6 0.3
190115  3- 1- 1+ 1-  1- 1o 1+ 1o    9+      5 0.2
190116  0+ 2- 2- 0+  0+ 1o 2o 3-   10o      5 0.2
190117  3- 2o 1- 1+  1o 2o 2o 2-   13+      6 0.3
190118  2- 1+ 1- 2o  1+ 2- 1o 1-   10+      5 0.2
190119  0+ 0o 1- 2-  0o 1o 1o 3-    7+      4 0.1
190120  2- 1o 1- 0+  1- 1- 1- 1-    6+ Q0   3 0.1
190121  1o 0+ 0o 0+  0+ 1- 1+ 2-    6- Q9   3 0.1
190122  0o 0+ 0o 0o  0+ 1o 2- 2o    5+      3 0.0
190123  3- 2+ 2o 3-  3o 2+ 2+ 4o   21+ D3* 12 0.7
190124  4- 3+ 4- 1+  1+ 3- 4- 4+   24o D1* 17 0.9
190125  2o 3- 3+ 3-  3+ 3o 2+ 2-   21o D5* 12 0.7
190126  2- 2- 1+ 1o  3o 3- 1- 1-   13-      7 0.3
190127  2o 1+ 1+ 1o  0+ 0+ 1o 1-    8o      4 0.1
190128  1- 0o 0+ 0o  0o 0+ 0+ 0o    2- Q2   1 0.0
190129  2- 0o 0o 0+  1- 0+ 0o 0o    3o Q7   2 0.0
190130  0o 0o 0o 0o  0o 0o 1o 1o    2o Q4   1 0.0
190131  1o 0+ 1o 1o  3- 3+ 3o 5+   18- D4* 14 0.8
1901                                  Mean  6 0.26

1901 Q  2  28   3  30  12  13  29  10  21  20 
1901 D 24*  5* 23* 31* 25*
