170301  3o 3o 3+ 5-  5- 4+ 5+ 6-   34o D2  35 1.4
170302  5+ 4+ 4o 5-  5- 3+ 4+ 2+   33o D3  32 1.3
170303  3+ 4o 4o 4-  3o 4o 2o 1o   25o     18 1.0
170304  4+ 4o 3o 3o  3- 3o 3- 4+   27o     20 1.0
170305  3- 3- 3o 3o  3- 3o 4+ 4o   25+     18 1.0
170306  4o 3o 1+ 4-  4- 3+ 5o 4o   28o     23 1.1
170307  3- 3+ 3+ 3-  2+ 3+ 3o 3-   23+     14 0.8
170308  3o 1+ 1- 2o  3- 2- 4- 4-   19-     12 0.7
170309  4- 3o 2o 3+  3- 2o 3o 2+   22o     13 0.8
170310  2o 3o 3+ 3+  2+ 1o 0+ 2-   17o     10 0.6
170311  1- 0+ 1+ 1-  0o 1- 1+ 4-    9-      5 0.2
170312  3+ 4- 1+ 1-  2o 1o 1- 1-   13+      8 0.4
170313  0o 1+ 1o 1-  1- 0+ 0o 0o    4o Q4   2 0.0
170314  0+ 1+ 1- 0+  2- 2- 1o 1o    8o Q8   4 0.1
170315  1- 1+ 2- 2-  1o 1- 1+ 3o   11+      6 0.3
170316  3- 2o 0o 0+  1o 0+ 1o 1+    9- Q9   4 0.2
170317  0o 1+ 1o 0+  0o 0+ 0+ 1+    5- Q5   2 0.0
170318  1o 0o 0+ 0o  0o 0o 1- 1o    3o Q3   2 0.0
170319  0o 0o 1- 1-  0o 0+ 0+ 1-    3- Q2   2 0.0
170320  0+ 0o 0+ 0+  0o 1- 0+ 0o    2o Q1   1 0.0
170321  1o 3+ 4o 2+  3o 5- 5+ 4o   28-     24 1.2
170322  4o 4- 3- 3+  4- 4o 4+ 4+   30o     24 1.2
170323  4o 3+ 2o 2-  1o 2o 1- 1-   15+      9 0.5
170324  2o 2+ 1+ 1-  2- 2- 1- 0+   11- Q0   5 0.2
170325  0o 1+ 0+ 1-  1- 1o 0+ 1o    5+ Q6   3 0.1
170326  2- 0o 0+ 1-  1o 1o 0o 1+    6o Q7   3 0.1
170327  2+ 5o 5- 6-  4+ 5+ 6+ 4o   38- D1  46 1.5
170328  5+ 5+ 3+ 4-  3+ 3o 3+ 3o   30+ D4  27 1.2
170329  4- 3+ 4o 3+  3o 4+ 2o 3+   27o     20 1.0
170330  3+ 4o 3- 2-  3o 3+ 4o 4+   26+     19 1.0
170331  5- 5- 4+ 4-  4o 4o 3o 3+   32- D5  27 1.2
1703                                  Mean 14 0.65

1703 Q 20  19  18  13  17  25  26  14  16  24 
1703 D 27   1   2  28  31 
