180701  0+ 1- 0+ 0+  0+ 0+ 0+ 0o    3- Q1   2 0.0
180702  0o 1- 0+ 0+  1o 0+ 0+ 0o    3o Q3   2 0.0
180703  0o 0o 0o 0+  2- 2- 1- 1-    5o Q0   2 0.0
180704  1- 1o 1+ 1-  1o 1o 1- 1-    7o      4 0.1
180705  2+ 1o 0+ 2o  4- 4+ 5- 4-   22o D2* 17 0.9
180706  4- 2o 1o 2o  1o 1o 1- 2o   13+      7 0.4
180707  2o 2- 1o 1o  1- 1+ 2- 1o   10+      5 0.2
180708  1o 1- 1o 1-  1+ 0+ 1- 1o    7-      4 0.1
180709  0+ 1- 0+ 0+  0+ 0+ 0o 0+    3- Q2   2 0.0
180710  2o 2+ 2- 1+  2+ 2- 1+ 0+   13o      6 0.3
180711  0+ 1+ 2+ 2+  3- 2- 2+ 2o   15o D4*  7 0.4
180712  1+ 3- 3- 1+  2- 1+ 1+ 1+   14-      7 0.3
180713  3- 2o 1+ 1-  1- 1+ 1o 1-   10+      5 0.2
180714  2- 1o 1o 1o  1o 0+ 1o 0o    7o      4 0.1
180715  1o 1+ 0+ 0+  0+ 0+ 1- 0+    5- Q5   3 0.0
180716  1- 2- 3- 2-  1o 2o 2+ 3-   15-      7 0.4
180717  1o 3o 3o 1o  1- 1+ 1- 1o   12-      7 0.3
180718  0+ 0+ 1- 0+  1- 1- 1o 1o    5o Q4   3 0.1
180719  1o 0+ 1- 1o  1- 1o 1o 1-    6+ Q9   3 0.1
180720  2o 1- 1o 2o  2o 1- 2o 2o   12+      6 0.3
180721  2- 2o 3o 3-  3+ 3- 2- 2-   19- D3* 10 0.6
180722  1+ 1o 1+ 1+  1o 1+ 1o 1-    9o      4 0.2
180723  0o 1- 1o 1-  1- 0+ 1o 1o    5+ Q6   3 0.1
180724  4- 3o 3+ 3-  2o 3o 3+ 4o   25o D1* 17 0.9
180725  3- 3+ 2o 1+  1+ 1+ 1o 1+   14+ D5*  8 0.4
180726  1- 1o 0+ 1-  1+ 1- 1- 1-    6o Q8   3 0.1
180727  1- 1- 0+ 0+  0+ 0+ 1- 2-    5o Q7   3 0.1
180728  2- 2o 1- 1+  1+ 1- 1+ 0+    9+      4 0.2
180729  1+ 1o 1- 1o  1o 1- 1+ 1-    8-      4 0.1
180730  1- 0+ 0o 0+  2- 1o 2o 2o    8o      4 0.1
180731  1+ 1o 0+ 0+  0+ 1- 2o 2+    8+      4 0.1
1807                                  Mean  5 0.23

1807 Q  1   9   2  18  15  23  27  26  19   3 
1807 D 24*  5* 21* 11* 25*
