170401  3- 3- 3o 3o  3- 4+ 3o 2+   24-     15 0.9
170402  2o 2+ 2o 1+  2+ 3o 1o 0+   14+      7 0.4
170403  0+ 1- 1- 1+  2o 1+ 1- 1-    8- Q3   4 0.1
170404  3- 4- 5- 5-  3o 1+ 1- 3o   24- D4* 19 1.0
170405  2- 1o 2+ 1+  1+ 2o 2+ 3+   15+      8 0.4
170406  1+ 0+ 1o 1+  2+ 3o 2- 1+   12+      6 0.3
170407  3o 2o 2o 2-  1- 1- 3- 3+   16o      9 0.5
170408  3o 3o 4- 3-  2o 2o 3- 4+   23+     15 0.9
170409  4o 5- 3o 3-  2+ 2+ 1- 1o   21-     15 0.8
170410  2+ 0+ 0+ 0+  2o 1+ 1o 1+    9o Q5   4 0.2
170411  1o 1+ 3- 3o  2+ 2o 4- 2+   18+     10 0.6
170412  3o 2o 1+ 1o  0+ 0+ 0+ 0o    8+ Q8K  5 0.2
170413  0+ 1o 0+ 0o  1- 1+ 2+ 1+    7+ Q4   4 0.1
170414  3o 3+ 3- 2o  3- 2o 3- 2o   20+     11 0.6
170415  3+ 2o 2- 0+  1- 1- 1+ 0+   10+      6 0.3
170416  1- 1- 1+ 1o  0+ 0+ 1o 1o    6+ Q1   3 0.1
170417  0+ 0+ 1+ 1-  1+ 1- 1- 1o    6+ Q2   3 0.1
170418  2+ 0+ 0+ 1-  1o 1+ 2- 3o   11- Q0K  6 0.3
170419  3o 4+ 3+ 1+  1- 2o 3o 3o   21-     14 0.8
170420  5- 6- 4o 5-  3+ 3- 3o 2+   30+ D3  28 1.2
170421  0+ 1+ 1o 0+  2- 4+ 5o 5-   19-     17 0.9
170422  5o 6- 5o 5o  5o 5- 4- 5+   39+ D1  47 1.5
170423  4o 4o 5+ 4+  5o 5- 4o 4+   36- D2  36 1.4
170424  3+ 4o 3+ 4-  2o 3+ 4- 3+   27- D5* 19 1.0
170425  3- 3- 2+ 2o  3o 2o 2+ 2o   19o     10 0.5
170426  3- 1+ 2+ 1+  2- 2+ 2+ 2+   16+      8 0.4
170427  2+ 2+ 2+ 1-  1- 1- 2o 1+   12+      6 0.3
170428  1o 1o 2- 1-  1+ 1o 1+ 2+   10+ Q7   5 0.2
170429  2- 1o 2- 1+  1o 1o 2o 2o   12- Q9   5 0.2
170430  1+ 1- 1- 1+  1o 2- 2o 2-   10+ Q6   5 0.2
1704                                  Mean 12 0.55

1704 Q 16  17   3  13  10  30  28  12K 29  18K
1704 D 22  23  20   4* 24*
