190401  2+ 2- 2o 3-  2o 2o 1- 0o   13+      6 0.3
190402  1- 0+ 1- 0+  1- 1- 3+ 3o   10-      6 0.3
190403  2+ 3+ 3- 2-  2+ 2- 2o 3-   19- D4* 10 0.6
190404  3- 2- 1+ 2+  3- 4- 2+ 1o   18- D5* 10 0.6
190405  3o 3+ 3- 2-  3- 2+ 3- 3-   21o D2* 12 0.7
190406  2+ 3o 2- 1+  1- 1o 2o 1+   13+      7 0.3
190407  0+ 2- 0+ 1o  2- 1- 1+ 2o    9o      4 0.2
190408  3- 3+ 2+ 2-  3o 3o 2o 2+   20+ D3* 11 0.7
190409  3+ 2o 2+ 2o  2- 2+ 2o 2o   18-      9 0.5
190410  4- 4o 3- 1o  2o 3+ 3o 1+   21o D1* 14 0.8
190411  1+ 3- 2- 2o  2o 2o 1- 1-   13o      6 0.3
190412  3o 2- 1+ 1o  2- 2- 2- 2+   14+      7 0.4
190413  3o 3o 2- 0+  1o 1- 2o 1+   13o      7 0.4
190414  1- 2- 2- 0+  1- 1- 0+ 1+    7+ Q7   4 0.1
190415  1+ 1+ 2+ 2+  1+ 1- 2+ 2o   14-      6 0.3
190416  2o 2- 2+ 1+  1+ 1- 1+ 1-   11+      5 0.2
190417  1- 1- 0o 0+  0o 1- 2- 1+    5+ Q4   3 0.0
190418  0o 0o 0o 0o  1o 1- 1- 1-    3o Q1   2 0.0
190419  0o 0+ 1+ 1+  1+ 1o 2- 1o    8o Q8   4 0.1
190420  1o 1- 1- 1-  1- 1- 1+ 1o    7- Q5   4 0.1
190421  2- 1o 1- 1-  1- 0+ 0+ 0+    6- Q3   3 0.1
190422  0o 0o 1o 0+  1o 1+ 1o 0+    5o Q2   3 0.0
190423  1o 0+ 0+ 1-  1- 2+ 3+ 3+   12o      7 0.4
190424  3o 1+ 0+ 2-  2+ 2- 1- 1+   12+      6 0.3
190425  1o 2- 2- 2-  2- 0+ 1o 0+    9+      4 0.2
190426  1- 0o 0+ 1-  1- 1+ 1+ 2-    7- Q6   3 0.1
190427  1o 0+ 2o 2-  1+ 1o 2o 2o   11+      5 0.2
190428  1- 0+ 1o 0+  1- 1+ 2o 2o    8+ Q0   4 0.1
190429  2- 1o 0o 1o  1+ 2o 1- 1o    9-      4 0.1
190430  2- 1o 0o 1-  1o 1o 2- 1+    8+ Q9   4 0.1
1904                                  Mean  6 0.28

1904 Q 18  22  21  17  20  26  14  19  30  28 
1904 D 10*  5*  8*  3*  4*
