170101  3+ 4- 3- 2+  2+ 3o 2o 2-   21o     12 0.7
170102  2- 2+ 2o 2-  1+ 2o 0+ 1-   12o Q0   6 0.3
170103  0+ 2- 2o 4-  3- 3o 3- 3-   19-     11 0.6
170104  1o 2- 1+ 2o  2+ 2+ 4- 3+   18-     10 0.6
170105  3+ 3+ 2o 2o  3o 4- 4- 4o   25o D4* 17 0.9
170106  4- 4- 3- 2+  3- 3- 3- 3o   23+     14 0.8
170107  4- 3o 3+ 3-  4+ 4o 3+ 3o   27+ D3  20 1.0
170108  3o 3- 2+ 3+  3o 3- 4- 4o   25- D5* 16 0.9
170109  3+ 2+ 2- 2o  3+ 3+ 1+ 2+   20-     11 0.6
170110  2o 2o 2o 1-  1o 4- 3o 3-   17o     10 0.5
170111  3- 2o 2- 0+  1o 2+ 2+ 2o   14+      7 0.4
170112  2o 2+ 0o 0+  0o 0o 1+ 2-    8- Q7   4 0.1
170113  1o 1o 0o 0+  1- 2- 1+ 1o    7o Q5   4 0.1
170114  1o 2- 1o 0+  1- 1o 1- 1o    7+ Q4   4 0.1
170115  2o 1o 2- 1-  1o 1- 2o 0+    9+ Q8   4 0.2
170116  1- 0+ 0+ 0o  0o 0o 1- 0+    2+ Q1   2 0.0
170117  1- 0o 0+ 0+  1o 2o 0+ 0+    5o Q3   3 0.0
170118  0+ 3- 3- 3-  3+ 3+ 4- 3+   22o     14 0.8
170119  3+ 3- 3- 3-  2- 2o 1o 2-   18-     10 0.5
170120  3o 3+ 2o 1+  2+ 1o 2+ 3-   18o     10 0.6
170121  3+ 1+ 2o 2-  1+ 2- 3+ 3+   18o     10 0.6
170122  3+ 3- 2+ 2o  2+ 2- 2- 2-   18-      9 0.5
170123  0o 0o 1- 1-  1- 2o 2o 2o    8o Q6   4 0.1
170124  2o 1- 0+ 0+  0o 0o 1- 1-    5- Q2   2 0.0
170125  2o 3o 1o 2-  0+ 0o 0o 1-    9- Q9K  5 0.2
170126  0o 0o 2o 2o  3o 4- 4- 3-   17o     11 0.6
170127  4+ 4+ 4o 4-  4- 3+ 1+ 2-   26+ D2  20 1.0
170128  3o 3o 2- 1o  1- 1o 2o 3+   16-      9 0.5
170129  3- 2+ 2- 1+  2o 2- 1+ 0+   13+      6 0.3
170130  0+ 1o 1o 1o  2+ 2o 1+ 3-   12-      6 0.3
170131  3- 3o 3+ 3+  3+ 4+ 4o 5-   29- D1  22 1.1
1701                                  Mean  9 0.48

1701 Q 16  24  17  14  13  23  12  15  25K  2 
1701 D 31  27   7   5*  8*
