180901  1- 1- 0+ 0+  1+ 1- 2o 1+    7+ Q4   4 0.1
180902  1+ 2o 1o 0+  0+ 1+ 1+ 2-    9+ Q7   4 0.2
180903  1+ 1+ 0+ 0+  1o 1o 1- 1+    7+ Q2   4 0.1
180904  2- 3- 3- 1-  1o 2- 2o 3o   15+      8 0.4
180905  3+ 3o 2- 3-  3- 2- 1+ 1o   17+     10 0.5
180906  2o 1+ 1o 0+  1- 1o 1+ 2-    9+ Q6   4 0.2
180907  2+ 2o 1o 1-  1o 1o 0+ 1-    9o Q8   4 0.2
180908  0+ 0o 2+ 0+  1- 1o 1- 2-    7o Q5   4 0.1
180909  2- 1+ 1+ 1-  1+ 2- 2- 3-   12+      6 0.3
180910  0+ 0+ 1- 2+  3- 5o 4+ 5o   21- D3  20 1.0
180911  4- 5o 6o 6-  3o 3o 4- 2+   32+ D1  35 1.4
180912  2o 2o 1o 1+  2- 3- 2o 4o   17-      9 0.5
180913  4o 4o 3o 3o  3o 3+ 2- 3o   25o D4* 17 0.9
180914  4+ 4o 2+ 2o  2o 2- 3- 3o   22o D5* 14 0.8
180915  3- 2o 2o 2-  2o 1o 1- 2+   14+      7 0.3
180916  2- 2+ 1+ 1+  1- 0+ 1o 2-   10+ Q0   5 0.2
180917  3+ 3- 2o 2-  2o 3- 3- 3-   20-     11 0.6
180918  2+ 2o 2o 2o  1- 1- 1- 1o   11+      5 0.2
180919  1o 2+ 1+ 0+  0+ 1- 0o 0o    6o Q3   3 0.1
180920  0+ 0o 1- 0+  0+ 0o 0o 0o    2- Q1   1 0.0
180921  0o 1- 0+ 1-  1- 1+ 1+ 4+    9+      7 0.3
180922  5- 4+ 4- 4o  4+ 3- 4o 4-   31+ D2  27 1.2
180923  3+ 3- 2- 2+  2+ 2o 2o 2+   19-     10 0.5
180924  2+ 2o 1+ 2o  1o 1- 2- 2-   13-      6 0.3
180925  2o 3- 1o 2+  3o 2o 3- 3-   18+     10 0.5
180926  1o 2- 2o 1o  2- 3- 1+ 2+   14-      7 0.3
180927  1+ 2o 2- 2-  2- 1- 0+ 2+   12-      6 0.2
180928  3o 3o 3- 1-  0+ 0+ 1- 2-   12+      7 0.4
180929  2+ 3- 2o 2o  2o 2o 1o 3+   17+      9 0.5
180930  1+ 2+ 0+ 1o  1- 0+ 2- 2-    9+ Q9   5 0.2
1809                                  Mean  9 0.42

1809 Q 20   3  19   1   8   6   2   7  30  16 
1809 D 11  22  10  13* 14*
