170501  2+ 2o 0o 0+  0+ 1- 1+ 2o    9o Q0   4 0.2
170502  0+ 2o 1- 1+  0+ 1- 0+ 2-    7+ Q8   4 0.1
170503  1- 1- 0+ 1o  1+ 1o 0+ 0o    5+ Q3   3 0.1
170504  0o 1+ 2- 1-  1- 0+ 1+ 3+    9+      5 0.2
170505  3o 2- 0o 0+  1o 0+ 0+ 0+    7o Q9K  4 0.1
170506  1- 2- 1o 1o  1o 1- 1+ 1o    8+ Q7   4 0.1
170507  2- 3- 3- 1+  1- 1+ 3o 2o   15+      8 0.4
170508  2+ 1- 2o 1+  1- 1o 2- 1o   11-      5 0.2
170509  1o 1+ 1o 1o  2o 2o 1o 1+   11-      5 0.2
170510  2- 1o 0o 0o  3- 1o 1o 3-   10o      5 0.2
170511  1+ 3- 2- 1-  1o 1o 1o 2-   11o      6 0.2
170512  2- 1o 2+ 2+  3- 1o 1+ 1+   14-      7 0.3
170513  0+ 1+ 1- 1o  1- 1- 1o 1+    7o Q5   4 0.1
170514  2o 2- 1+ 3o  3- 2o 2- 2+   17-      8 0.5
170515  0+ 2- 2+ 4-  2o 3- 4- 3-   19o D4* 12 0.7
170516  3- 2+ 2- 2-  3o 1+ 1o 1+   15o      8 0.4
170517  2+ 2- 2o 2o  1+ 1+ 2- 2o   14+      6 0.3
170518  4- 3o 3o 1+  0+ 1o 1+ 2-   15+      9 0.5
170519  2+ 3- 2o 1o  2+ 4- 4- 3o   21- D3* 12 0.7
170520  4- 4- 4o 4-  4- 4+ 3+ 3-   29o D2  22 1.1
170521  2+ 3- 2o 2-  2- 1+ 2+ 2-   16-      8 0.4
170522  2- 2o 2- 2o  2+ 2+ 3o 3-   18-      9 0.5
170523  1+ 3o 1o 1o  2- 1+ 3- 2+   14+      8 0.4
170524  1+ 1o 1o 1-  1- 0+ 0+ 0+    6- Q4   3 0.1
170525  0o 0+ 0o 1-  1o 1o 0+ 1o    4+ Q2   2 0.0
170526  1o 0+ 0+ 1-  0+ 0+ 1- 0o    4- Q1   2 0.0
170527  1- 0+ 0o 0o  1o 3+ 3- 6-   14- D5* 13 0.8
170528  6o 7o 6o 5o  4- 2- 1o 1-   31o D1  47 1.5
170529  0+ 0+ 1- 2-  4o 3+ 2+ 1-   13+      9 0.5
170530  2o 3+ 1o 1-  0+ 1- 0+ 1-    9o      5 0.2
170531  0o 1+ 0+ 0+  1+ 1o 1- 2-    7- Q6   3 0.1
1705                                  Mean  8 0.36

1705 Q 26  25   3  24  13  31   6   2   5K  1 
1705 D 28  20  19* 15* 27*
