170901  3+ 3+ 2o 4o  4- 2o 2o 4-   24o     16 0.9
170902  4- 5- 5- 3o  2- 3- 3- 3o   26o     20 1.0
170903  2+ 2+ 1- 2-  3- 2o 1- 2o   14+ Q9A  7 0.4
170904  4- 3+ 2- 2o  2- 3- 4- 5-   23+     16 0.9
170905  4o 3o 2+ 2-  2o 2+ 3- 1+   19+     11 0.6
170906  1+ 1+ 1+ 3-  3o 2- 0+ 3+   15o      8 0.5
170907  3- 4- 4- 4-  3- 2o 3- 8-   29- D5  36 1.4
170908  8o 5- 4+ 5o  8+ 7+ 6+ 5-   49- D1 106 1.9
170909  2+ 2- 0+ 0+  1- 0+ 0o 0o    6- Q2   3 0.1
170910  0o 0o 0o 0o  0+ 3- 2o 3o    8o Q7K  4 0.2
170911  3+ 3- 2+ 2o  3- 2o 3- 3-   20+     11 0.6
170912  2o 2- 2+ 2o  3- 2+ 4o 5+   22+     17 0.9
170913  5+ 3- 4- 2+  2- 1+ 2- 0o   19-     14 0.8
170914  2o 2o 1o 3-  4o 5+ 4o 4+   25+     22 1.1
170915  6- 4- 4+ 3o  4o 3+ 5+ 5-   34o D4  34 1.4
170916  5o 5+ 3+ 3+  4o 4o 3o 3o   31o     28 1.2
170917  3o 3+ 2o 2+  4- 4o 2+ 1+   22o     14 0.8
170918  4+ 4- 4o 4o  3- 3- 3- 3+   27+     20 1.0
170919  2+ 2- 1o 2-  1+ 2o 3- 2+   15o Q0A  7 0.4
170920  3o 3+ 2o 2o  2o 1o 2o 1-   16o      8 0.5
170921  1- 1+ 2+ 1+  2- 0+ 1+ 2-   11- Q6   5 0.2
170922  1+ 1o 1o 0+  1o 1o 2+ 2+   10+ Q5   5 0.2
170923  1- 1+ 1o 1-  1o 1- 2+ 1o    9- Q4   4 0.2
170924  1o 2- 1- 1-  1o 2- 2+ 3-   12- Q8   6 0.3
170925  2+ 2+ 1o 1-  0+ 0+ 0+ 0+    8- Q3   4 0.1
170926  0+ 1- 1+ 1o  0+ 0o 0+ 2o    6o Q1   3 0.1
170927  3o 3- 5- 4o  4- 4- 6- 6+   34- D3  37 1.4
170928  5+ 6+ 7- 5-  4- 4o 4- 5-   39o D2  51 1.6
170929  3o 2+ 2+ 3-  3+ 2- 2o 3-   20o     11 0.6
170930  2o 3- 3+ 2o  3+ 4o 2+ 3o   23-     14 0.8
1709                                  Mean 18 0.74

1709 Q 26   9  25  23  22  21  10K 24   3A 19A
1709 D  8  28  27  15   7 
