181101  1- 1+ 2o 2-  1o 1o 0+ 1+    9+      4 0.2
181102  3- 0+ 0+ 1+  1- 1o 1- 0+    7+      4 0.1
181103  2o 2o 0+ 0+  0+ 0o 0+ 1+    7-      3 0.1
181104  1o 1- 1- 1-  1o 3- 5- 5+   17- D2* 16 0.9
181105  4+ 6- 5o 5-  3+ 3+ 4- 2+   32+ D1  32 1.3
181106  2o 4- 1+ 2-  1+ 1o 0+ 2-   13o      7 0.4
181107  3o 3+ 3- 1o  1+ 1o 2o 2+   17-      9 0.5
181108  3o 4o 2o 3+  1o 1o 2- 1+   17+ D4* 11 0.6
181109  1+ 0+ 1o 2-  1+ 3o 4- 4o   16+ D5* 11 0.6
181110  2o 2- 2o 4+  2o 1+ 4- 3+   20+ D3* 13 0.7
181111  3o 2+ 2- 1o  1- 0+ 3- 2o   14-      7 0.4
181112  2+ 3+ 3o 2-  2- 1o 2o 2+   17+      9 0.5
181113  2o 1o 1o 1-  0+ 0o 0+ 0o    5+      3 0.0
181114  0o 1- 0+ 0+  1o 1o 1+ 1-    5+      3 0.1
181115  0o 0+ 0o 0+  0o 1- 0o 1-    2o Q2   1 0.0
181116  0o 0o 0o 0o  0+ 1o 0o 0o    1+ Q3   1 0.0
181117  0+ 1- 0+ 0o  0o 0o 0o 0o    1+ Q1   1 0.0
181118  0+ 1- 0o 0+  1o 1- 0+ 1-    4o Q8   2 0.0
181119  1+ 1+ 1- 0+  0+ 2- 1+ 2-    9-      4 0.1
181120  3- 3o 1+ 1o  0o 1- 0+ 1-   10-      6 0.2
181121  1+ 3- 1o 1o  1- 0+ 0+ 1-    8o      4 0.2
181122  1o 0o 1- 0+  0+ 0+ 0+ 0o    3o Q5   2 0.0
181123  1- 1o 1- 1-  0+ 0o 0o 0+    4- Q6   2 0.0
181124  0o 0o 0+ 0+  1o 2- 1- 1+    5+      3 0.0
181125  1- 1- 0+ 1-  1o 1- 0o 1-    5- Q0   3 0.0
181126  1- 1- 0o 0o  0o 0+ 0+ 1-    3- Q4   2 0.0
181127  1- 1- 0o 1-  2- 2+ 2+ 2o   10+      5 0.2
181128  1o 0+ 0o 0o  0o 1- 1- 1o    4- Q9   2 0.0
181129  2o 0+ 0+ 0+  0o 0o 0o 1o    4o      2 0.0
181130  1+ 0+ 0o 0+  0+ 0o 1- 0o    3o Q7   2 0.0
1811                                  Mean  6 0.24

1811 Q 17  15  16  26  22  23  30  18  28  25 
1811 D  5   4* 10*  8*  9*
