190701  2+ 3o 2+ 1+  2o 1+ 1+ 2-   15+      8 0.4
190702  1+ 1- 1o 1o  1+ 2- 2o 0+    9+      4 0.2
190703  0o 0+ 1+ 1o  1+ 1+ 1+ 0o    7-      3 0.1
190704  0o 0+ 0+ 0+  2o 1+ 2+ 2o    9-      4 0.1
190705  2- 1- 1o 1o  2- 1- 0+ 0+    7+      4 0.1
190706  1o 1o 1- 1-  0+ 0+ 0+ 1-    5o      3 0.1
190707  0+ 1o 1+ 1o  1o 1- 1o 2-    8o      4 0.1
190708  2+ 1+ 1- 0o  0+ 1- 4- 3+   12+      8 0.4
190709  3o 2+ 2o 2-  2- 3- 5o 3+   22-     15 0.9
190710  2- 4+ 5- 3+  2+ 2o 1o 2-   21o     15 0.9
190711  3- 2o 3o 1o  1o 1- 1- 0+   11+      6 0.3
190712  1- 1+ 2o 2-  1+ 1- 1- 1o    9+      4 0.2
190713  0+ 1- 1o 2-  2- 2o 2+ 1+   11o      5 0.2
190714  2o 1- 1- 0+  1- 1o 2- 2+    9+      5 0.2
190715  3- 2- 1o 2+  2- 1o 2+ 0+   13o      6 0.3
1907                                  Mean  6 0.30
