180501  0o 0+ 1o 0+  0+ 0+ 0+ 1-    3+ Q1   2 0.0
180502  1o 2o 2- 1o  1o 1- 0+ 0o    8-      4 0.1
180503  0+ 0+ 0+ 0+  1- 1- 1o 1+    5o Q6   3 0.1
180504  0+ 1- 1+ 1-  1- 1o 1+ 1o    7o      4 0.1
180505  1- 1- 0+ 3-  4o 5- 4+ 6-   23o D2  23 1.1
180506  6- 4o 3+ 3-  3o 2+ 4+ 4+   30- D1  26 1.2
180507  4- 4o 3o 2-  3o 3+ 2+ 3+   24+ D3* 16 0.9
180508  3- 3o 2+ 3-  3- 4- 4- 2o   23-     14 0.8
180509  3+ 3- 2+ 2-  2+ 2+ 4o 4-   22+ D5* 14 0.8
180510  3+ 3- 3o 2o  2o 3o 1- 3-   19+     11 0.6
180511  2o 3+ 4- 2-  3o 2o 4- 3+   23- D4* 14 0.8
180512  3- 4- 1o 1+  1o 1- 2- 2o   14o      8 0.4
180513  1- 2- 2+ 2o  2o 2o 2+ 2+   15+      7 0.4
180514  1o 1o 1o 1-  1- 1- 1- 2o    8-      4 0.1
180515  0o 0+ 1- 0+  1- 1+ 1- 1o    5o Q8   3 0.0
180516  0o 0o 0+ 0+  1+ 1- 1+ 1+    5+ Q0   3 0.0
180517  3- 2- 2- 3-  3o 2+ 2+ 2o   18+     10 0.5
180518  2- 1o 0+ 1o  1+ 1o 1o 1o    8+      4 0.1
180519  0o 0o 0o 0+  1- 1o 1o 0+    3+ Q3   2 0.0
180520  0+ 1o 1o 0+  1- 0+ 0o 0+    4o Q4   2 0.0
180521  0o 1- 0+ 1-  0o 0+ 0o 1o    3o Q2   2 0.0
180522  0o 0+ 2o 1-  1+ 1+ 2o 2-    9+      4 0.2
180523  1+ 2o 3+ 3-  2+ 1+ 1- 1+   15o      8 0.4
180524  1o 1+ 0+ 0+  1- 1- 0+ 1-    5+ Q9   3 0.1
180525  1+ 0+ 0+ 0+  1+ 0+ 0+ 0+    5- Q7   3 0.0
180526  0o 1- 0+ 0+  1- 0+ 1o 1+    5- Q5   3 0.0
180527  1o 1+ 0+ 1+  1- 0+ 1- 1-    6+      3 0.1
180528  0+ 1o 1o 1o  2- 1+ 1- 0+    7+      4 0.1
180529  1- 2- 1- 1-  1o 1- 1- 0+    6+      3 0.1
180530  0+ 0+ 1- 0+  1- 1o 2- 2-    7-      4 0.1
180531  1+ 1+ 1- 1+  2- 4- 4+ 3o   17+     12 0.7
1805                                  Mean  7 0.32

1805 Q  1  21  19  20  26   3  25  15  24  16 
1805 D  6   5   7* 11*  9*
