171201  1+ 3- 1+ 1o  1+ 3- 2+ 1-   13+      7 0.3
171202  1- 0o 0+ 0o  0+ 2+ 0+ 1-    5- Q9   3 0.0
171203  0o 0o 0o 0+  0+ 0o 0o 1-    1+ Q1   1 0.0
171204  0o 0o 2- 1o  2+ 3o 3+ 4o   15+     10 0.6
171205  3+ 3o 4o 5-  5o 4+ 4- 4-   32- D1  28 1.2
171206  3+ 4o 3+ 2-  3o 3- 3o 2+   23+ D4* 15 0.8
171207  2o 2o 2+ 1o  3+ 3o 2+ 2+   18+     10 0.5
171208  1+ 1+ 2o 1+  2- 1- 1o 1-   10o      5 0.2
171209  1- 0o 0+ 0+  2- 2- 1o 0+    6o Q0   3 0.1
171210  0o 0o 1o 0o  1- 1- 0+ 1+    4o Q4   2 0.0
171211  1o 3- 2+ 2+  3+ 2+ 2+ 2-   18o     10 0.5
171212  2+ 3- 2+ 2+  1+ 3- 4o 3o   21- D5* 12 0.7
171213  1- 0o 1+ 1o  2- 2o 3- 2+   12-      6 0.3
171214  3- 1o 0+ 0+  0+ 0o 1o 1-    6+      4 0.1
171215  0o 0o 0+ 1o  1+ 1o 1- 1+    6- Q5   3 0.1
171216  0o 0o 1- 1-  1- 1- 0+ 2o    5o Q6   3 0.0
171217  3- 3o 5- 3o  3+ 4- 5- 4-   29- D2  23 1.1
171218  4o 4- 4+ 3+  3o 2+ 2- 1-   23o D3* 16 0.9
171219  1- 1o 0+ 0+  1o 2- 2- 2+    9o      4 0.2
171220  2o 2o 1o 2-  1- 1+ 2- 0o   10+      5 0.2
171221  0+ 0+ 1- 1o  1- 1- 0o 0o    4- Q3   2 0.0
171222  0o 0+ 0+ 0o  0+ 0o 0o 1o    2o Q2   1 0.0
171223  1+ 3- 1+ 2-  1- 0o 1- 1-    9o      5 0.2
171224  1+ 2o 2o 2+  3+ 3+ 2+ 3o   20-     11 0.6
171225  3o 1- 2o 3-  1+ 2o 3o 2o   17-      9 0.5
171226  3- 3- 1+ 2-  1+ 2- 4- 3o   18o     10 0.6
171227  2- 2+ 1+ 1+  1o 3- 2- 3-   15-      7 0.4
171228  1o 0+ 1+ 1o  2- 1+ 1o 2-    9+      4 0.2
171229  1- 1o 0+ 0+  1- 1o 2+ 1-    7o      4 0.1
171230  0+ 1+ 0+ 0o  1- 1o 0+ 2-    6- Q7   3 0.1
171231  0+ 0o 0o 0+  0+ 1- 1+ 2o    5o Q8   3 0.0
1712                                  Mean  7 0.34

1712 Q  3  22  21  10  15  16  30  31   2   9 
1712 D  5  17  18*  6* 12*
