180201  3- 0+ 0+ 0+  0+ 0o 1+ 1+    7-      4 0.1
180202  2o 1o 1- 1-  1- 0+ 0+ 0o    6- Q7   3 0.1
180203  0+ 0+ 1o 1o  0+ 0+ 2- 1+    6+ Q8   3 0.1
180204  1- 0o 0o 0+  0+ 1o 2+ 1o    6- Q0   3 0.1
180205  3- 2o 2o 2-  3o 2+ 1o 0+   15o      8 0.4
180206  0+ 2+ 1+ 2-  1+ 0o 1- 1+    9o      4 0.2
180207  0+ 0+ 1- 1o  2- 0o 0o 0o    4o Q5   2 0.0
180208  0o 1o 1- 1-  0+ 0o 0+ 1+    4+ Q4   2 0.0
180209  1+ 3- 1- 0o  0o 0o 0+ 2+    7+      4 0.1
180210  1o 2+ 1+ 2+  2o 1+ 1+ 1-   12+      6 0.3
180211  1- 0o 0+ 0+  0+ 1- 0+ 0o    3- Q1   2 0.0
180212  0o 1o 2- 0+  0+ 0+ 2- 1-    6o Q9   3 0.1
180213  0o 1- 1- 0+  0+ 0+ 0+ 1-    3+ Q2   2 0.0
180214  1o 0o 0o 0o  0o 0o 1o 1+    3+ Q3   2 0.0
180215  1o 0o 2o 1o  2+ 5- 3o 3-   17- D5* 11 0.6
180216  2+ 2+ 2+ 1+  1- 1+ 2- 2+   14+      7 0.3
180217  3o 4- 3o 1+  3o 2- 1o 2+   19o     11 0.7
180218  4o 2o 2+ 2o  3o 4- 2+ 2+   22- D4* 13 0.8
180219  4o 4o 2+ 2-  3- 2o 4o 3-   23+ D2* 16 0.9
180220  3- 0o 0+ 0+  1+ 1o 0+ 0o    6o      3 0.1
180221  0o 0o 1- 2o  0+ 0+ 1- 0+    4+ Q6   2 0.0
180222  2- 1+ 1- 2-  2+ 3- 4- 3+   17+     10 0.6
180223  2- 4- 3o 4+  1+ 2o 3+ 3-   22o D3* 15 0.8
180224  3+ 3+ 3- 2-  1+ 0+ 0+ 1o   14o      8 0.5
180225  1- 0o 1- 0o  0+ 2- 2o 1+    7-      3 0.1
180226  2o 2- 2- 2-  1o 1+ 0+ 3o   13-      6 0.3
180227  4o 5+ 2- 2o  4+ 2+ 1+ 1o   22o D1* 18 1.0
180228  2+ 2+ 1- 1+  2- 1o 2- 1+   12+      6 0.3
1802                                  Mean  6 0.30

1802 Q 11  13  14   8   7  21   2   3  12   4 
1802 D 27* 19* 23* 18* 15*
