180601  3o 4- 5- 4+  5- 4- 2+ 2+   29- D1  23 1.1
180602  3- 4o 3- 2o  3- 2+ 4o 4-   24o D4* 16 0.9
180603  3- 2- 1o 2-  3- 3- 2o 2-   16o      8 0.4
180604  1o 1+ 1+ 1+  1- 1o 1+ 1-    9-      4 0.1
180605  2- 1+ 1o 1o  2- 2- 2- 1-   11-      5 0.2
180606  1- 1- 0+ 0+  1+ 2+ 4- 2-   11o      6 0.3
180607  3- 2- 1o 1o  0+ 1- 1o 1+   10-      5 0.2
180608  1- 2o 1- 2-  1+ 0+ 0+ 0+    7+      4 0.1
180609  1o 1- 1o 1o  0+ 1- 1+ 0o    6o Q9   3 0.1
180610  1- 1o 0o 0o  0+ 1o 1- 0o    4- Q2   2 0.0
180611  1o 0+ 0+ 0+  1o 1+ 0+ 1o    6- Q5   3 0.1
180612  2- 2- 0+ 0+  1- 0+ 0+ 1-    6o Q0   3 0.1
180613  0+ 1- 1o 0+  0+ 0+ 2o 2o    7o      4 0.1
180614  1+ 1o 1+ 1o  1+ 1o 1o 1o    9o      4 0.2
180615  1- 1- 0+ 1o  1- 1o 0+ 0o    5- Q4   3 0.0
180616  0o 1- 0+ 0o  0+ 0+ 0+ 1-    3- Q1   2 0.0
180617  1- 1- 1o 0+  0+ 1o 2- 2-    7+      4 0.1
180618  4o 3+ 4- 3+  3o 2+ 2+ 2o   24o     16 0.9
180619  1+ 2- 2+ 2-  1o 1- 1o 1o   11-      5 0.2
180620  0+ 2- 2+ 2-  1o 1o 1- 1o   10-      5 0.2
180621  1- 1- 1- 1o  0+ 1- 0+ 0+    5- Q3   3 0.0
180622  0+ 1o 1o 0+  0+ 1o 1+ 1-    6o Q7   3 0.1
180623  2+ 3+ 2- 4o  4o 3o 3+ 4-   25+ D3* 18 1.0
180624  3- 2- 2+ 2-  2o 1- 1+ 1o   13+      6 0.3
180625  1o 1- 1- 2-  3- 2o 3o 5o   17- D5* 12 0.7
180626  5- 4- 3- 4-  4- 3o 3+ 2o   27- D2  20 1.0
180627  1o 2+ 1+ 1+  2o 1+ 1+ 3-   13+      6 0.3
180628  2- 1- 0+ 1+  2- 1+ 2- 1o   10-      5 0.2
180629  1- 1+ 1- 1-  1o 1o 0+ 0o    6- Q6   3 0.1
180630  0+ 0+ 1o 1o  1o 1o 1- 1o    6+ Q8   3 0.1
1806                                  Mean  7 0.30

1806 Q 16  10  21  15  11  29  22  30   9  12 
1806 D  1  26  23*  2* 25*
