190301  4+ 4o 3o 4-  3- 4- 4o 4o   29+ D1  23 1.1
190302  4o 3+ 3o 2o  2o 3o 2o 2-   21o D3* 13 0.7
190303  2+ 3- 1- 1-  1+ 1- 1- 2o   11o      6 0.3
190304  1+ 2+ 1+ 2o  2o 1o 0+ 2o   12+      6 0.3
190305  2+ 1o 0+ 1-  1o 1- 1- 2o    9- Q0   4 0.2
190306  1o 2- 3o 1+  2o 1- 2o 2-   13+      7 0.3
190307  0+ 0+ 0o 0+  2+ 3- 3- 3-   11+      6 0.3
190308  3- 1- 1o 2-  0o 1- 0+ 1+    8+      4 0.2
190309  0+ 0o 1- 1o  2+ 1o 1o 2+    9-      4 0.2
190310  2+ 2o 1- 0+  0+ 0+ 0o 0+    6+ Q9   3 0.1
190311  0o 0o 1- 1+  1- 0o 0+ 1-    4- Q5   2 0.0
190312  2- 1+ 3- 2o  1+ 1- 1+ 1+   12+      6 0.3
190313  0+ 2- 1+ 0+  1- 1- 1+ 0+    7- Q8   4 0.1
190314  0o 1o 1+ 1-  3- 1+ 3- 3o   13-      7 0.4
190315  2+ 3- 2o 1-  1- 1o 3- 1o   13o      7 0.3
190316  1- 1+ 2- 3o  2+ 3- 2+ 5-   19- D4* 12 0.7
190317  5- 4o 4o 3-  2- 2o 1- 0+   20o D2* 15 0.9
190318  0+ 1- 0o 0+  1- 1- 1- 0+    4- Q4   2 0.0
190319  1- 1- 1o 2-  2o 2- 3- 2+   13-      6 0.3
190320  1- 2- 1+ 1+  2- 2- 1- 1o   10o      5 0.2
190321  0+ 1o 0+ 0+  0+ 0o 0o 0o    2+ Q3   2 0.0
190322  0o 0o 1- 0o  0+ 0+ 0o 0o    1+ Q1   1 0.0
190323  0o 0o 0o 1o  0+ 0o 0o 0o    1+ Q2   1 0.0
190324  0o 0o 0+ 0o  0o 0o 0o 2o    2+ Q6   1 0.0
190325  2o 1o 1- 0+  1o 1+ 0+ 2+    9o      4 0.2
190326  2+ 2+ 0+ 0+  1- 0+ 0+ 2-    8+      4 0.2
190327  2o 2- 3- 2o  2- 1- 2o 1-   13+      6 0.3
190328  1- 2+ 2+ 2o  3o 2o 2o 3o   17+ D5*  9 0.5
190329  2o 2o 2o 2o  1o 2- 2o 1+   14o      6 0.3
190330  2o 1+ 0+ 0+  1- 0+ 0+ 0+    6- Q7   3 0.1
190331  2+ 4- 3- 1o  2o 2- 2+ 1-   16+      9 0.5
1903                                  Mean  6 0.29

1903 Q 22  23  21  18  11  24  30  13  10   5 
1903 D  1  17*  2* 16* 28*
