170201  4+ 3+ 3+ 3o  4o 5o 3+ 5o   31+ D1  28 1.2
170202  3+ 4- 4- 3+  3- 4- 4- 4+   28+ D2  21 1.1
170203  3+ 4- 4+ 2+  3o 3+ 3o 3o   26o D4* 18 1.0
170204  2+ 3+ 3- 2o  2o 2- 2+ 2+   19-     10 0.5
170205  3o 4- 3o 2o  3- 3+ 4- 2o   23+     15 0.8
170206  3o 3o 2- 2-  3- 3o 2+ 4-   21o     12 0.7
170207  3- 2+ 1o 1+  3- 2- 2- 1+   15-      7 0.4
170208  1o 0o 1- 1o  2- 2- 1o 1+    8+ Q5   4 0.1
170209  2o 1+ 1o 2-  1o 2o 2+ 2+   14- Q0   6 0.3
170210  2+ 1o 2o 1+  2o 2+ 1+ 2+   15-      7 0.3
170211  3- 1o 1- 1-  0+ 0o 1- 0+    6+ Q6   4 0.1
170212  1- 0o 0+ 0+  0+ 1+ 2- 0+    5o Q4   3 0.0
170213  2+ 1+ 0+ 1-  0+ 2o 2- 1+   10o Q8   5 0.2
170214  0o 0o 0o 0o  0o 0+ 1- 1-    2- Q1   1 0.0
170215  0o 0o 1- 1-  1- 1- 1+ 1-    5- Q3   2 0.0
170216  1- 2o 2+ 1-  2+ 3+ 2+ 2o   16-      8 0.4
170217  2- 4- 4+ 4o  2+ 3+ 3- 4o   26o D3* 19 1.0
170218  4+ 4+ 2+ 2-  1+ 2o 3o 3+   22+     16 0.9
170219  3o 3+ 2+ 1o  1+ 3- 3o 0+   17o     10 0.6
170220  0+ 3+ 2- 2-  2o 3- 3o 1+   16o      9 0.5
170221  2o 2o 1- 0+  0+ 1- 0o 2o    8o Q7   4 0.1
170222  4- 3o 2+ 2+  1o 2- 2- 1-   16+      9 0.5
170223  2- 2+ 2o 2-  2+ 3+ 2+ 3o   19-     10 0.6
170224  5- 3+ 3o 4o  3+ 3- 2- 3-   25+ D5* 18 1.0
170225  3- 3- 2- 1+  1- 0+ 0+ 2-   11+ Q9K  6 0.3
170226  1- 1o 0o 0+  1- 0o 0o 0o    3- Q2   2 0.0
170227  1- 2- 1o 1+  1+ 1o 3o 3-   13-      7 0.3
170228  3- 2+ 2- 1+  1+ 1- 2+ 3-   15o      8 0.4
1702                                  Mean 10 0.48

1702 Q 14  26  15  12   8  11  21  13  25K  9 
1702 D  1   2  17*  3* 24*
