171101  1+ 0o 0o 1-  1o 0o 1o 1-    5- Q4   2 0.0
171102  3- 2o 1+ 1+  2- 1+ 1+ 3o   15-      8 0.4
171103  3+ 2o 2o 2+  3- 1- 1+ 1+   16-      8 0.4
171104  1o 1o 1- 0+  1o 1- 0+ 1+    6+ Q5   3 0.1
171105  0+ 0o 0o 0o  0o 0+ 1- 0+    2- Q2   1 0.0
171106  1- 0o 0o 0o  0o 0o 0o 0+    1o Q1   1 0.0
171107  1- 3- 3+ 5-  4- 4- 6+ 6-   31- D2  35 1.4
171108  6- 6+ 3+ 4+  5o 4+ 3+ 5-   37o D1  44 1.5
171109  4- 3+ 3- 3+  3o 4- 3+ 4-   27-     18 1.0
171110  3o 3+ 4- 4-  4- 4o 3o 3o   27+ D4  20 1.0
171111  3o 2+ 2o 2o  1+ 1+ 1- 1o   14-      7 0.3
171112  1o 2- 1- 1o  1o 1o 2- 2+   10+ Q0   5 0.2
171113  1+ 2+ 1+ 2-  1o 2+ 1o 0+   11+      6 0.2
171114  3o 3o 3- 1+  2o 3o 2+ 3-   20o     11 0.6
171115  2o 3- 3- 3o  2+ 3+ 2+ 2o   20+     11 0.6
171116  4o 4+ 3+ 2+  1o 2- 2o 3-   21+ D5* 14 0.8
171117  1o 2- 1+ 2+  2- 0o 0o 1o    9o Q9   4 0.1
171118  2- 2- 2o 2-  2- 2- 1o 2-   13o      6 0.3
171119  1- 2- 2+ 1+  1- 0+ 1o 0+    8+ Q7   4 0.1
171120  1- 0+ 0+ 0+  0+ 2o 2+ 4-   10o      6 0.3
171121  4+ 5o 5- 3+  3o 4- 4- 4-   31+ D3  27 1.2
171122  2+ 3o 2- 2o  3o 2o 3- 2o   19-     10 0.5
171123  2+ 1o 2o 3-  2+ 2- 2o 3-   17-      8 0.4
171124  3o 2o 2o 1-  0+ 0+ 3+ 3+   15o      9 0.5
171125  3+ 3- 1+ 1o  0o 1o 1- 0+   10+      6 0.3
171126  0o 0o 1o 0o  1- 1- 1o 1-    4o Q3   2 0.0
171127  2- 1+ 1- 0+  2o 1o 1+ 1o    9+ Q8   4 0.2
171128  3+ 2+ 1+ 2-  2- 0+ 1o 1-   12+      7 0.3
171129  1o 1o 2- 1-  0o 1o 1+ 2o    9- Q6   4 0.1
171130  2+ 4o 1o 1+  2+ 3o 1+ 2+   18-     10 0.6
1711                                  Mean 10 0.45

1711 Q  6   5  26   1   4  29  19  27  17  12 
1711 D  8   7  21  10  16*
