170701  2- 3+ 3- 2-  3- 3o 3+ 2o   20+     12 0.7
170702  3- 3- 4+ 4+  3- 2- 3o 3+   25- D4* 17 0.9
170703  2- 2o 1+ 1+  1- 1o 1- 2-   10+      5 0.2
170704  1o 1+ 1o 0+  0+ 0+ 1o 2-    7o      4 0.1
170705  0+ 0+ 0o 0+  0+ 0o 0+ 1-    2+ Q1   2 0.0
170706  1- 1- 1+ 1o  2- 2- 1+ 3o   11+      6 0.3
170707  2o 1+ 0+ 0+  1- 1o 1o 1+    8o      4 0.1
170708  1o 0+ 0+ 1-  0+ 0+ 1- 0+    4o Q3   2 0.0
170709  5o 3o 2o 5+  2o 3o 4o 3+   28- D3  24 1.2
170710  3+ 4- 2- 1o  1- 1o 1- 2-   14-      8 0.4
170711  2- 2+ 2+ 1+  2- 2o 1o 1+   14-      6 0.3
170712  1o 1- 1- 1-  1o 1+ 1- 1-    7- Q0   4 0.1
170713  1- 1- 0+ 0+  1+ 1- 1- 1o    6- Q8   3 0.1
170714  0+ 0+ 0+ 0+  1- 1- 0+ 0+    3+ Q2   2 0.0
170715  1- 1o 1- 0+  0+ 1- 1- 1o    5+ Q5   3 0.1
170716  2o 1o 5- 5+  6- 5+ 6o 5-   35- D1  44 1.5
170717  3o 4+ 4o 4o  4+ 6- 2- 2-   29- D2  26 1.2
170718  2+ 3o 2- 1o  1o 1- 0+ 1+   11+      6 0.3
170719  0+ 1- 0+ 1-  0+ 1o 1+ 1-    5+ Q7   3 0.1
170720  1- 1- 1- 1-  1+ 2o 3o 3-   12-      6 0.3
170721  4- 3+ 2+ 1+  2+ 3+ 1+ 3o   21-     13 0.7
170722  3o 2+ 4+ 4+  2- 2+ 2+ 2+   23- D5* 15 0.9
170723  3- 2o 3- 3-  3- 2+ 2+ 4o   21+     12 0.7
170724  2o 3- 3o 2-  2+ 2+ 2- 3+   19o     10 0.6
170725  2+ 1+ 2o 2+  3- 2o 2+ 3o   18o      9 0.5
170726  4- 2+ 4o 1+  2o 1+ 1+ 0o   16o     10 0.6
170727  0+ 1o 1o 1-  1+ 3- 1- 2+   10o      5 0.2
170728  1+ 1o 1- 1+  2o 3- 3- 2-   13+      7 0.3
170729  0+ 1o 1+ 1o  1- 1o 0+ 1-    6+ Q9   3 0.1
170730  1o 1o 1- 1-  0+ 1- 1o 0o    5+ Q6   3 0.1
170731  0o 1o 0+ 1-  1o 0+ 0+ 1-    4+ Q4   2 0.0
1707                                  Mean  9 0.41

1707 Q  5  14   8  31  15  30  19  13  29  12 
1707 D 16  17   9   2* 22*
