170801  1- 1- 1+ 2-  2+ 1o 0+ 1-    9-      4 0.2
170802  1o 1- 0+ 1o  2- 2- 1- 1o    8o Q5   4 0.1
170803  0+ 1- 0+ 1o  2- 4- 4- 4-   15o     10 0.6
170804  2+ 3+ 4- 4+  4+ 4+ 3+ 3-   28+     22 1.1
170805  3- 4- 3- 2o  3- 4- 3+ 3o   24-     15 0.8
170806  3+ 2o 2+ 4+  2+ 1+ 3- 2o   20+     12 0.7
170807  1- 2- 2- 2o  2- 1- 0+ 1-    9+      4 0.2
170808  0+ 1- 1- 1o  1o 2- 2o 1-    8o Q7   4 0.1
170809  0o 0+ 1o 1o  1+ 1o 1+ 1o    7o Q4   4 0.1
170810  0o 1o 1+ 1+  2o 1o 0+ 2-    9- Q0   4 0.1
170811  2- 2- 1+ 1+  1+ 2- 3o 1+   13+      7 0.3
170812  3- 3+ 2o 1o  1+ 1- 3- 3-   16+      9 0.5
170813  2+ 2o 2- 1+  2o 1+ 2- 2o   14+      6 0.3
170814  2o 1o 0+ 1o  1+ 1o 1o 1o    9- Q9   4 0.1
170815  1- 1o 0+ 0+  0o 0+ 0+ 1o    4o Q2   2 0.0
170816  1+ 1- 1o 1+  1+ 1+ 2o 2o   11o      5 0.2
170817  3- 2o 5- 5-  5- 3o 4- 4-   29o D3  24 1.2
170818  4+ 3o 2- 3o  4- 3o 5- 3-   26o     20 1.0
170819  4+ 3+ 5- 4+  4o 5- 3o 4+   33- D2  29 1.3
170820  4+ 5o 3o 2+  2+ 3+ 3o 3o   26+ D5  20 1.0
170821  2+ 2+ 3o 3-  2- 1+ 2o 3-   18o      9 0.5
170822  5- 4+ 3o 2-  3- 2+ 2o 3+   24o     17 0.9
170823  3o 4- 3o 2+  4+ 5- 5- 3-   28+ D4  23 1.1
170824  3o 4- 3o 2-  2+ 2- 0+ 0+   16o     10 0.5
170825  0o 1- 1+ 1+  2- 1o 1- 2-    8+ Q8   4 0.1
170826  0+ 0+ 1o 0+  1- 1+ 1o 1-    6- Q3   3 0.1
170827  2+ 1o 0+ 2-  1+ 3- 3o 3o   15+      8 0.5
170828  1- 1- 1- 1-  0+ 1- 0o 1-    4+ Q1   2 0.0
170829  1o 1+ 1+ 1o  1o 2+ 4o 2+   14+      8 0.5
170830  2o 2o 1o 0+  0o 0+ 1- 0o    6+ Q6   3 0.1
170831  2- 3o 5+ 5+  5o 4o 4- 3-   31- D1  30 1.3
1708                                  Mean 11 0.50

1708 Q 28  15  26   9   2  30   8  25  14  10 
1708 D 31  19  17  23  20 
