181001  0o 1+ 1o 1+  4- 3- 2+ 2+   15-      8 0.4
181002  4- 3- 2o 0+  1+ 1- 2- 0+   13-      7 0.4
181003  0+ 1- 1- 2-  1- 1o 2- 2+    9o      4 0.2
181004  1+ 0+ 0+ 0+  1o 2- 1+ 1o    7+ Q0   4 0.1
181005  3o 3- 2- 2o  3- 1- 1o 2+   16o      8 0.5
181006  3o 1o 1o 1o  1- 0+ 0o 0o    7o      4 0.1
181007  0+ 1- 1o 2+  4- 5+ 5+ 5-   23+ D1  24 1.2
181008  4o 4+ 4- 2o  4+ 4- 2o 2-   26- D2* 19 1.0
181009  3o 3- 3o 4-  3o 4- 3- 3o   25- D3* 16 0.9
181010  3+ 1o 2- 2o  3+ 3o 5- 3-   22- D4* 15 0.8
181011  3o 3- 2o 2-  2o 3- 2o 1+   17+      9 0.5
181012  1+ 2- 1o 1+  1- 1+ 1+ 2-   10+      5 0.2
181013  1o 2+ 1+ 0+  2- 4+ 4o 3+   18+ D5* 13 0.7
181014  2o 1+ 1- 2-  1+ 1+ 1o 2-   11o      5 0.2
181015  3o 2- 2- 2-  2+ 3- 3- 3-   18+     10 0.5
181016  2o 1- 1o 1+  2- 2- 1- 1-   10-      5 0.2
181017  0o 1o 2- 0+  0+ 1- 0o 0o    4o Q7   2 0.0
181018  0+ 0o 0+ 0o  0o 0o 0o 0o    1- Q1   0 0.0
181019  0o 0+ 0+ 0+  0+ 0o 1- 0+    2+ Q4   2 0.0
181020  0o 0o 0o 0o  0+ 0o 0+ 0+    1o Q2   1 0.0
181021  0+ 0o 0o 2o  2o 2- 1+ 1o    8+      4 0.1
181022  3- 2- 2- 1-  1o 1- 1o 1o   10+      5 0.2
181023  1o 1o 0+ 1o  1- 0+ 0o 0+    5- Q5   3 0.0
181024  0+ 0+ 1o 1+  0+ 0+ 1o 1o    6- Q8   3 0.1
181025  0+ 2o 0+ 2-  1+ 2o 2o 2-   11+      5 0.2
181026  2o 1+ 1- 2-  1+ 1o 2o 2+   12+      6 0.3
181027  1- 2- 2- 1o  0+ 0o 0+ 0o    6- Q9   3 0.1
181028  1+ 1- 1- 1-  0+ 1- 0+ 1-    5+ Q6   3 0.1
181029  0o 0o 0o 0o  0+ 0+ 0+ 0+    1+ Q3   1 0.0
181030  2o 2- 1- 0+  0o 0+ 1- 1o    7-      3 0.1
181031  1- 0o 0o 0+  1+ 2- 2- 1+    7o      3 0.1
1810                                  Mean  6 0.30

1810 Q 18  20  29  19  23  28  17  24  27   4 
1810 D  7   8*  9* 10* 13*
