190601  1- 0+ 1- 1-  0+ 0+ 1o 1-    5- Q6   3 0.0
190602  2o 0+ 0+ 0+  0+ 0+ 0+ 1o    5o      3 0.1
190603  0+ 0o 0+ 1+  1+ 1+ 1- 1-    6o      3 0.1
190604  1+ 1+ 1+ 1o  2- 2+ 2+ 2o   13+ D3*  6 0.3
190605  2+ 1- 1- 0+  0+ 1- 1o 1-    7-      4 0.1
190606  1- 1- 1- 0+  0+ 0o 0+ 0o    3o Q2   2 0.0
190607  0+ 0+ 1o 1-  1+ 1+ 1o 1-    7-      4 0.1
190608  1- 1- 1- 2-  3+ 5o 5+ 4-   21o D1  20 1.0
190609  3o 2- 1+ 1o  1o 1o 1o 1+   11+      6 0.3
190610  0+ 0+ 0o 0+  1- 1- 1- 1-    4- Q3   2 0.0
190611  1- 1- 0+ 0+  0+ 0+ 0+ 0+    3+ Q1   2 0.0
190612  1o 1- 1- 0+  1+ 1- 0+ 0+    5+ Q0   3 0.1
190613  1+ 2- 2o 1+  2+ 2- 2- 4o   16o D2*  9 0.5
190614  2+ 2- 2+ 2-  2- 1o 1- 1-   12o D5*  6 0.3
190615  0+ 1o 1+ 1+  1- 1- 0o 1-    6o      3 0.1
190616  1o 1+ 1o 0+  1- 1o 1- 1-    7-      4 0.1
190617  0o 0+ 0+ 1-  1o 1- 0+ 0o    3+ Q4   2 0.0
190618  0+ 0+ 0+ 0+  1+ 1- 1o 1-    5o Q9   3 0.1
190619  1- 0+ 1- 1o  1o 1- 0+ 1-    5+ Q8   3 0.1
190620  0+ 2- 2+ 2-  1o 1o 2o 2+   12+ D4*  6 0.3
190621  1+ 2- 1o 1+  1+ 1- 1+ 2+   11o      5 0.2
190622  1+ 2- 1+ 1-  0+ 1- 0+ 0o    6+      3 0.1
190623  0o 0o 0+ 1-  1+ 1- 0+ 0+    4- Q5   2 0.0
190624  2- 2- 0+ 1-  2- 1- 1+ 1-    9-      4 0.1
190625  1- 0+ 0+ 1-  1o 0+ 1- 1+    5+      3 0.1
190626  2- 1+ 2- 2-  1o 1o 0+ 1+   10o      5 0.2
190627  1+ 1o 0o 0+  1o 1- 1o 1-    6o      3 0.1
190628  2o 1o 0+ 0+  1- 1- 1o 1-    7-      4 0.1
190629  0+ 0+ 1- 0+  1- 1- 1- 1o    5- Q7   3 0.0
190630  2+ 0+ 0+ 0+  1+ 1- 0+ 1o    7-      4 0.1
1906                                  Mean  4 0.15

1906 Q 11   6  10  17  23   1  29  19  18  12 
1906 D  8  13*  4* 20* 14*
