171001  3+ 2- 3- 2o  2- 3+ 2- 3o   19+     11 0.6
171002  1+ 3+ 1+ 2-  1+ 0+ 0+ 0o   10-      5 0.2
171003  2+ 3o 3- 1o  0o 0+ 0+ 1o   11-      6 0.3
171004  2o 2+ 0+ 0+  0+ 0+ 2- 2o    9+      5 0.2
171005  3o 1- 0+ 0o  0o 1o 1o 3+    9+      6 0.3
171006  3- 3- 1+ 1+  2o 2- 1+ 2+   15+      8 0.4
171007  1+ 0+ 0+ 0+  1- 1- 2- 1o    6+ Q7   3 0.1
171008  1+ 2- 0+ 0o  0+ 0+ 0+ 1-    5o Q6   3 0.0
171009  2o 0o 0o 0+  0o 0o 0o 0+    3- Q2   1 0.0
171010  0o 0o 0o 0+  0+ 0+ 0+ 2o    3+ Q5   2 0.0
171011  3+ 4o 5- 4-  4o 5- 4o 4-   32o D3  28 1.2
171012  5o 3+ 4o 4+  4+ 3+ 3o 4-   31o D4  26 1.2
171013  3- 4+ 2o 3+  6- 5- 6- 5+   34- D1  37 1.4
171014  5o 4+ 5- 5o  4- 4o 3o 3-   32+ D2  30 1.3
171015  4+ 5+ 3- 4o  4+ 4- 3o 1-   28o D5  25 1.2
171016  2o 3o 2- 2-  1+ 1o 3- 2+   16-      8 0.4
171017  1+ 1o 1+ 1+  2- 1o 1+ 1o   10o      5 0.2
171018  1o 2- 1- 1-  1o 0o 1o 2+    8+ Q0   4 0.1
171019  3o 2+ 2+ 2o  2+ 4- 3- 3-   21o     12 0.7
171020  4- 2o 2- 1+  2- 0+ 1+ 2-   14-      7 0.4
171021  1+ 2- 2- 2-  2+ 2+ 2+ 3o   16+      8 0.4
171022  3o 2- 0+ 1-  1o 1- 1+ 2-   10+      6 0.2
171023  2+ 1- 1- 2-  1o 1- 0+ 1o    8+ Q9   4 0.1
171024  2- 1- 2o 3-  4+ 5- 2+ 5-   23o     18 1.0
171025  4- 4- 5- 3+  2+ 2+ 3o 3+   26+     19 1.0
171026  3+ 2+ 4- 3-  4- 4+ 3o 1+   24+     17 0.9
171027  2o 1+ 1o 1o  0+ 0o 1+ 1+    8+ Q8   4 0.1
171028  1+ 2- 1+ 2o  1- 1+ 1o 1-   10o      5 0.2
171029  1- 2- 0o 0+  1- 0+ 1- 0+    5- Q3   3 0.0
171030  1- 1o 0o 0+  0o 0+ 0o 1-    3o Q1   2 0.0
171031  1+ 0o 0o 0+  2- 0o 0o 0o    3+ Q4   2 0.0
1710                                  Mean 10 0.45

1710 Q 30   9  29  31  10   8   7  27  23  18 
1710 D 13  14  11  12  15 
