170601  0+ 1- 1- 0+  1+ 3- 2+ 3-   11o      6 0.3
170602  2- 1+ 1- 1o  1o 1- 1o 1o    8+ Q0   4 0.1
170603  0+ 0+ 2- 2o  3+ 4- 2- 1o   14o      8 0.5
170604  1- 1- 0+ 0+  0+ 0o 0+ 0+    3o Q1   2 0.0
170605  1- 1o 0+ 1o  3- 1+ 1o 1+    9+      5 0.2
170606  2o 2o 1o 1-  1o 1- 0+ 1-    8+      4 0.1
170607  1- 2- 2- 1-  1o 1o 0+ 1+    8+      4 0.1
170608  1o 1- 0+ 0+  1+ 1- 0+ 1o    6- Q4   3 0.1
170609  2+ 1o 0o 0+  1- 1- 1- 0+    6o Q9   3 0.1
170610  1+ 1o 0+ 1-  0+ 0+ 1- 1-    5+ Q3   3 0.1
170611  0+ 2o 2+ 1+  3o 5o 4- 3-   20+ D3* 15 0.8
170612  1+ 1+ 1o 1-  2+ 2o 2+ 2+   13+      6 0.3
170613  3- 2- 1o 2+  1+ 2o 1o 0+   12+      6 0.3
170614  0o 1- 1+ 2+  2o 2o 1o 1-   10o      5 0.2
170615  2- 1o 0+ 1o  1- 0+ 1o 0+    6+ Q6   3 0.1
170616  1o 2o 4o 4-  5- 4- 3+ 5o   27+ D1  23 1.1
170617  4- 4- 1+ 2o  2o 2o 4o 3+   22o D2* 14 0.8
170618  3+ 3o 2o 2o  2+ 2- 2+ 2o   19- D4* 10 0.5
170619  1+ 2o 2- 2-  2- 0+ 0+ 0+    9+      4 0.2
170620  0o 1- 1o 0+  0+ 1o 0o 0o    3+ Q2   2 0.0
170621  0o 0+ 0+ 0+  1o 1o 2- 2-    6+ Q7   3 0.1
170622  2+ 1o 1- 0+  0+ 0+ 2+ 1o    8+      4 0.2
170623  1o 0+ 1- 1o  1- 1- 2o 2+    9-      4 0.2
170624  1+ 1+ 2- 3-  2+ 2o 3- 3-   17-      8 0.5
170625  2o 2o 3+ 2+  2+ 2o 2- 2o   18- D5*  9 0.5
170626  2+ 2- 1- 2o  2- 2- 2o 1+   13+      6 0.3
170627  2- 1+ 1- 1o  1+ 1o 1- 1-    8+      4 0.1
170628  1+ 2- 1o 1+  1- 0+ 0o 0+    7- Q8   3 0.1
170629  0+ 2- 2o 2-  1- 1- 1- 1-    8+      4 0.1
170630  0o 0+ 1- 1-  1o 1- 1- 2-    6- Q5   3 0.1
1706                                  Mean  6 0.27

1706 Q  4  20  10   8  30  15  21  28   9   2 
1706 D 16  17* 11* 18* 25*
