181201  0o 1+ 1- 0+  2- 3- 3o 2-   11+      6 0.3
181202  2- 2o 2o 2-  2o 3o 3o 4-   19o D2* 11 0.6
181203  2+ 1o 1+ 2-  2o 3o 3o 2o   16+      8 0.5
181204  3o 3- 2o 1+  0+ 2- 2- 2+   15o      8 0.4
181205  2- 2- 0+ 0+  1+ 1o 1- 2o    9o      4 0.2
181206  2o 2o 1o 1-  2o 1- 1- 1-   10-      5 0.2
181207  1o 2+ 3- 2o  2o 2+ 3+ 2+   18o D5*  9 0.5
181208  2+ 3- 3o 2-  2o 3+ 2+ 2-   19o D3* 10 0.6
181209  1+ 1+ 1o 1o  1+ 3- 3o 4-   15+      9 0.5
181210  3- 3o 3o 2+  2+ 2- 1+ 1+   18-     10 0.5
181211  1o 2o 3- 2o  0+ 3- 3- 1+   15-      8 0.4
181212  2o 1- 1- 1-  1- 1- 2- 1-    8- Q0   4 0.1
181213  0o 1o 0+ 0o  0+ 1- 0o 0o    2+ Q5   1 0.0
181214  0+ 1- 0o 0+  0o 1- 0o 0+    2+ Q3   2 0.0
181215  0+ 0o 0o 0o  0+ 0+ 0+ 0+    2- Q1   1 0.0
181216  0+ 0o 1- 0+  0+ 1- 0+ 0+    3o Q4   2 0.0
181217  0o 1- 2- 1-  1+ 1+ 2+ 2o   10o      5 0.2
181218  3- 1+ 1o 1o  2- 2- 3- 1-   13-      6 0.3
181219  1- 1+ 1+ 2o  1- 2- 1+ 2o   11o      5 0.2
181220  3o 3o 3o 2-  1- 2o 3- 3-   19- D4* 11 0.6
181221  2o 1o 1o 1o  1- 0+ 2- 1o    9-      4 0.1
181222  1- 1o 0o 0+  0+ 0o 1- 0o    3o Q7   2 0.0
181223  1- 0o 0o 0+  0+ 0+ 0+ 0+    2+ Q2   2 0.0
181224  1- 0o 0o 1-  1- 0o 1- 1+    4o Q8   2 0.0
181225  1- 2- 0o 0o  1- 1o 1+ 1o    6+ Q9   3 0.1
181226  0+ 0o 0o 0+  1o 1- 0+ 0o    3- Q6   2 0.0
181227  2- 1+ 0+ 0o  0o 0o 1- 2+    6+      3 0.1
181228  4o 4o 4+ 3o  4- 3o 3+ 3+   29- D1  22 1.1
181229  2+ 3o 3- 2o  2+ 2- 2o 2o   18o      9 0.5
181230  2o 3o 3- 2o  2o 3o 2o 1+   18o      9 0.5
181231  3o 2o 2- 2-  2+ 1o 0+ 1o   13o      7 0.3
1812                                  Mean  6 0.28

1812 Q 15  23  14  16  13  26  22  24  25  12 
1812 D 28   2*  8* 20*  7*
