180801  2o 0+ 0+ 1-  2- 2- 2o 2+   11o      5 0.2
180802  3- 2o 2- 1o  1+ 0+ 0+ 0o    9+      5 0.2
180803  1- 1+ 1o 3-  2+ 1+ 0+ 1-   10+      5 0.2
180804  2- 2o 1o 1+  0+ 1- 0+ 1+    9-      4 0.1
180805  1- 1o 1- 2o  1+ 1o 0+ 1-    8- Q8   4 0.1
180806  0o 1- 1- 1-  1o 1- 1- 0+    5- Q1   3 0.0
180807  2o 2o 1+ 2o  3o 3- 3o 2-   18-      9 0.5
180808  1- 1- 1+ 1+  2- 1o 1o 1+    9o Q9   4 0.2
180809  1+ 1- 1+ 1+  1- 0+ 1- 1-    7o Q7   4 0.1
180810  1+ 1- 0+ 0+  1- 1o 1o 1o    6+ Q3   3 0.1
180811  1+ 2- 2- 2-  3o 2+ 2o 4-   17+     10 0.5
180812  1o 1- 1- 2-  2- 1o 2- 2o   10+      5 0.2
180813  0+ 1o 1o 1o  1+ 1- 0+ 1o    7- Q4   4 0.1
180814  1+ 0+ 1- 1o  1- 1- 0+ 1o    6o Q2   3 0.1
180815  2o 1o 2- 3-  4o 3o 3o 3+   21- D4* 13 0.7
180816  4- 2+ 2o 2+  3- 1+ 2- 2+   18+     10 0.6
180817  3o 4o 2+ 2o  1o 0+ 3+ 3+   19+ D5* 12 0.7
180818  1+ 3- 3+ 3-  2o 2+ 1+ 2-   17+      9 0.5
180819  2+ 2o 1+ 1+  1o 3- 2+ 2o   15o      7 0.4
180820  4- 3+ 2- 2o  3- 3o 4o 2+   23- D3* 14 0.8
180821  3- 1+ 2o 2o  1+ 1+ 1+ 2+   14+      7 0.3
180822  2- 2+ 1+ 0+  1+ 1- 0+ 2o   10o      5 0.2
180823  2- 1o 1- 0+  1o 1- 1- 1-    7- Q5   4 0.1
180824  0o 1- 1+ 1+  3- 1+ 0+ 1-    8+      4 0.2
180825  1- 1o 2o 2+  3- 2- 4- 4+   18+     12 0.7
180826  5o 7- 7+ 5-  5- 6o 5o 3o   42+ D1  67 1.7
180827  1+ 2+ 3- 4-  4- 6- 5o 3-   27o D2  25 1.2
180828  4- 3- 2- 3-  2o 1- 1- 0+   14+      8 0.5
180829  2+ 2- 1- 1o  1o 2o 1+ 1+   11+      5 0.2
180830  1+ 1- 1o 0+  0+ 0+ 1- 2-    6+ Q6   3 0.1
180831  1o 1- 0+ 1-  1o 2- 2+ 1-    8+ Q0   4 0.1
1808                                  Mean  9 0.37

1808 Q  6  14  10  13  23  30   9   5   8  31 
1808 D 26  27  20* 15* 17*
